,Area,Size,Rent,Manhattan,Queens,Brooklyn,Bronx,Staten Island,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,One Bathrooms,Two Bathrooms,Three Bathrooms,Four Bathrooms
0,0,555,2875,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,532,2595,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,500,2100,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,412,1795,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,490,2249,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,650,3360,1,0,0,0,0,0,0,0,0,0,0,0,0
6,6,590,2875,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,440,1799,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,550,2800,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,412,1800,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,470,2250,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,665,3600,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,632,3095,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13,627,2875,1,0,0,0,0,0,0,0,0,0,0,0,0
14,14,420,1773,1,0,0,0,0,0,0,0,0,0,0,0,0
15,15,500,2750,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,412,1971,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,480,2150,1,0,0,0,0,0,0,0,0,0,0,0,0
18,18,590,2450,1,0,0,0,0,0,0,0,0,0,0,0,0
19,19,430,1922,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,499,2891,1,0,0,0,0,0,0,0,0,0,0,0,0
21,20,475,2462,1,0,0,0,0,0,0,0,0,0,0,0,0
22,21,476,2700,1,0,0,0,0,0,0,0,0,0,0,0,0
23,22,466,2667,1,0,0,0,0,0,0,0,0,0,0,0,0
24,23,480,2295,1,0,0,0,0,0,0,0,0,0,0,0,0
25,24,450,2300,1,0,0,0,0,0,0,0,0,0,0,0,0
26,25,440,2875,1,0,0,0,0,0,0,0,0,0,0,0,0
27,26,425,2200,1,0,0,0,0,0,0,0,0,0,0,0,0
28,27,460,2650,1,0,0,0,0,0,0,0,0,0,0,0,0
29,28,680,2675,1,0,0,0,0,0,0,0,0,0,0,0,0
30,2,624,2100,1,0,0,0,0,0,0,0,0,0,0,0,0
31,4,690,2249,1,0,0,0,0,0,0,0,0,0,0,0,0
32,29,624,1675,1,0,0,0,0,0,0,0,0,0,0,0,0
