Borough,Area,Bedrooms,Bathrooms,Size,Rent
Manhattan,Downtown,Studio,1 Bathroom,555,2875
Manhattan,Midtown,Studio,1 Bathroom,532,2595
Manhattan,Upper East Side,Studio,1 Bathroom,500,2100
Manhattan,Upper Manhattan,Studio,1 Bathroom,412,1795
Manhattan,Upper West Side,Studio,1 Bathroom,490,2249
Manhattan,Battery Park City,Studio,1 Bathroom,650,3360
Manhattan,Chelsea,Studio,1 Bathroom,590,2875
Manhattan,Central Harlem,Studio,1 Bathroom,440,1799
Manhattan,Central Park South,Studio,1 Bathroom,550,2800
Manhattan,East Harlem,Studio,1 Bathroom,412,1800
Manhattan,East Village,Studio,1 Bathroom,470,2250
Manhattan,Flatiron,Studio,1 Bathroom,665,3600
Manhattan,Financial District,Studio,1 Bathroom,632,3095
Manhattan,Gramercy Park,Studio,1 Bathroom,627,2875
Manhattan,Hamilton Heights,Studio,1 Bathroom,420,1773
Manhattan,Greenwich Village,Studio,1 Bathroom,500,2750
Manhattan,Little Italy,Studio,1 Bathroom,412,1971
Manhattan,Lower East Side,Studio,1 Bathroom,480,2150
Manhattan,Manhattan,Studio,1 Bathroom,590,2450
Manhattan,Manhattanville,Studio,1 Bathroom,430,1922
Manhattan,Midtown,Studio,1 Bathroom,499,2891
Manhattan,Midtown East,Studio,1 Bathroom,475,2462
Manhattan,Midtown South,Studio,1 Bathroom,476,2700
Manhattan,Midtown West,Studio,1 Bathroom,466,2667
Manhattan,Morningside Heights,Studio,1 Bathroom,480,2295
Manhattan,NYC,Studio,1 Bathroom,450,2300
Manhattan,Nolita,Studio,1 Bathroom,440,2875
Manhattan,Roosevelt Island,Studio,1 Bathroom,425,2200
Manhattan,Soho,Studio,1 Bathroom,460,2650
Manhattan,Tribeca,Studio,1 Bathroom,680,2675
Manhattan,Upper East Side,Studio,1 Bathroom,624,2100
Manhattan,Upper West Side,Studio,1 Bathroom,690,2249
Manhattan,Washington Heights,Studio,1 Bathroom,624,1675
Manhattan,West Village,Studio,1 Bathroom,675,2800
Queens,Astoria,Studio,1 Bathroom,660,1870
Queens,Woodside,Studio,1 Bathroom,612,1500
Queens,Sunnyside,Studio,1 Bathroom,624,1651
Queens,South Queens,Studio,1 Bathroom,630,1475
Queens,Rego Park,Studio,1 Bathroom,612,1642
Queens,Queens,Studio,1 Bathroom,590,1750
Queens,Northeast Queens,Studio,1 Bathroom,660,1550
Queens,Kew Gardens,Studio,1 Bathroom,652,1525
Queens,Long Island City,Studio,1 Bathroom,750,2538
Queens,Jackson Heights,Studio,1 Bathroom,612,1600
Queens,Jamaica,Studio,1 Bathroom,640,1828
Queens,Elmhurst,Studio,1 Bathroom,660,1500
Queens,Flushing,Studio,1 Bathroom,630,1550
Queens,Forest Hills,Studio,1 Bathroom,620,1595
Queens,Central Queens,Studio,1 Bathroom,630,1595
Queens,Northwest Queens,Studio,1 Bathroom,650,2300
Queens,Corona,Studio,1 Bathroom,635,1500
Queens,Briarwood,Studio,1 Bathroom,622,1575
Brooklyn,Williamsburg,Studio,1 Bathroom,590,2483
Brooklyn,Windsor Terrace,Studio,1 Bathroom,624,2000
Brooklyn,Sunset Park,Studio,1 Bathroom,634,1600
Brooklyn,Bay Ridge,Studio,1 Bathroom,623,1592
Brooklyn,Bedford-Stuyvesant,Studio,1 Bathroom,550,1995
Brooklyn,Bensonhurst,Studio,1 Bathroom,500,1765
Brooklyn,Boerum Hill,Studio,1 Bathroom,650,2100
Brooklyn,Sheepshead Bay,Studio,1 Bathroom,625,1450
Brooklyn,Red Hook,Studio,1 Bathroom,490,1800
Brooklyn,Park Slope,Studio,1 Bathroom,580,2100
Brooklyn,Prospect Heights,Studio,1 Bathroom,550,1850
Brooklyn,Prospect Lefferts Gardens,Studio,1 Bathroom,490,1645
